OID_,FID_Clip_layer_neg_buffer,FID_gbif_occurrence,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order_,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
693,1,3707,278189264.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS89743515,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,7/17/92,17,7,1992,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS89743515,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:24:29.792Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
694,1,3709,278188232.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS94207326,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,5/20/94,20,5,1994,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS94207326,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T21:30:53.753Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
695,1,3753,278174630.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS89941700,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,7/13/93,13,7,1993,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS89941700,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:23:44.077Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
696,1,3754,278174614.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS90154893,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,6/13/93,13,6,1993,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS90154893,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:23:00.127Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
697,1,3824,278150159.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS94207312,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,5/11/94,11,5,1994,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS94207312,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:23:20.453Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
698,1,3855,278135211.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS94207289,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,7,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,5/6/94,6,5,1994,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS94207289,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:23:17.396Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
699,1,3861,278132005.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS90158236,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,6,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,7/13/93,13,7,1993,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS90158236,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:31:24.147Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
700,1,3862,278131992.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS90158222,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,6/13/93,13,6,1993,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS90158222,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:07:57.205Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
701,1,3937,278031604.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS90154879,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,6/10/93,10,6,1993,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS90154879,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T21:07:47.370Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
702,1,3959,278005889.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS89743499,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,6/17/92,17,6,1992,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS89743499,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:22:59.676Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
703,1,3972,277984136.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS89743528,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,8/5/92,5,8,1992,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS89743528,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:23:37.251Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
704,1,4294,273103015.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS89743506,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,7/7/92,7,7,1992,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS89743506,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:22:59.462Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
705,1,4300,273102887.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS89743521,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,7/29/92,29,7,1992,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS89743521,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:23:12.527Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
706,1,4310,273099346.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS90154909,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,6,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,7/13/93,13,7,1993,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS90154909,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T21:06:57.295Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
707,1,4312,273099275.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS89941718,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,7/22/93,22,7,1993,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS89941718,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T21:06:53.670Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
708,1,4321,273097317.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS90158210,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,6/13/93,13,6,1993,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS90158210,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:30:17.058Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
709,1,4358,272526478.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS89941655,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,5/24/93,24,5,1993,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS89941655,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:22:59.822Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
710,1,4477,272162464.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS91843497,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,6/3/94,3,6,1994,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS91843497,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:23:02.093Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
711,1,4478,272161798.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS91843479,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,5/20/94,20,5,1994,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS91843479,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:23:35.545Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
712,1,4489,272152670.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS90158269,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,7/30/93,30,7,1993,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS90158269,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:07:56.672Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
713,1,4493,272151375.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS91843534,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,7/6/94,6,7,1994,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS91843534,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:23:27.542Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
714,1,4528,272143792.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS91843517,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,6/17/94,17,6,1994,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS91843517,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T21:06:54.402Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
715,1,4531,272143592.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS91843463,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,5/6/94,6,5,1994,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS91843463,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:23:02.100Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
716,1,4542,272142110.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS89941687,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,6/29/93,29,6,1993,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS89941687,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:23:33.603Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
717,1,4551,272141097.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS91843551,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,7/19/94,19,7,1994,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS91843551,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T21:08:09.379Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
718,1,4556,272139662.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS89941671,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,6/13/93,13,6,1993,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS89941671,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:23:34.021Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
719,1,4560,272139654.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS89941228,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork B2,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.230499999999999,-122.288086000000007,,,,,,,5/14/93,14,5,1993,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS89941228,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T21:31:17.507Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
720,1,1157,579320730.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS118819476,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork C2,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.231524999999998,-122.292940000000002,,,,,,,6/6/96,6,6,1996,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS118819476,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T21:07:36.634Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
721,1,1160,579320552.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS123110700,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork C2,California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.231524999999998,-122.292940000000002,,,,,,,6/6/96,6,6,1996,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS123110700,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T21:08:07.913Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
722,1,1165,579320451.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS118819484,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork C2,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.231524999999998,-122.292940000000002,,,,,,,6/28/96,28,6,1996,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS118819484,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:24:10.346Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
723,1,1170,579320234.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS123110712,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork C2,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.231524999999998,-122.292940000000002,,,,,,,6/28/96,28,6,1996,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS123110712,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:24:24.359Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
724,1,1195,579319663.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS123110681,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork C2,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.231524999999998,-122.292940000000002,,,,,,,5/9/96,9,5,1996,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS123110681,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T21:07:18.332Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
725,1,1198,579319620.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS118819456,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork C2,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.231524999999998,-122.292940000000002,,,,,,,5/23/96,23,5,1996,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS118819456,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T20:23:56.923Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
726,1,1213,579319353.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS118819495,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork C2,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.231524999999998,-122.292940000000002,,,,,,,7/6/96,6,7,1996,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS118819495,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T21:30:13.266Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
727,1,1226,579319165.000000000000000,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS123110717,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Butano South Fork C2,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.231524999999998,-122.292940000000002,,,,,,,6/28/96,28,6,1996,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS123110717,,,,CC_BY_4_0,,obsr215126,,,2024-01-24T21:08:07.399Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
